employee_id,attrition_probability,risk_level,recommendation,action_taken,evidence,targets_drivers,cited_features,escalated,tool_calls
EMP1803,0.2481,Low,,False,[],[],[],False,0
EMP393,0.0667,Low,,False,[],[],[],False,0
EMP2012,0.3272,Low,,False,[],[],[],False,0
EMP1585,0.2814,Low,,False,[],[],[],False,0
EMP167,0.78,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['DistanceFromHome is 22 vs cohort mean 9.10 (z=+1.63).'],[],['DistanceFromHome'],False,0
EMP1601,0.1192,Low,,False,[],[],[],False,0
EMP353,0.3517,Medium,Increase manager check-in frequency to weekly,True,['TrainingTimesLastYear is 0 vs cohort mean 2.80 (z=-2.07).'],[],['TrainingTimesLastYear'],False,0
EMP235,0.9156,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['JobInvolvement is 1 vs cohort mean 2.66 (z=-2.32).'],[],['JobInvolvement'],False,0
EMP1839,0.3414,Low,,False,[],[],[],False,0
EMP954,0.396,Medium,Increase manager check-in frequency to weekly,True,['EnvironmentSatisfaction is 1 vs cohort mean 2.69 (z=-1.51).'],[],['EnvironmentSatisfaction'],False,0
EMP49,0.0815,Low,,False,[],[],[],False,0
EMP2048,0.1764,Low,,False,[],[],[],False,0
EMP1036,0.6077,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['NumCompaniesWorked is 8 vs cohort mean 3.16 (z=+1.90).'],[],['NumCompaniesWorked'],False,0
EMP1933,0.2252,Low,,False,[],[],[],False,0
EMP578,0.1791,Low,,False,[],[],[],False,0
EMP1592,0.03,Low,,False,[],[],[],False,0
EMP467,0.65,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['BusinessTravel_freq is 2 vs cohort mean 1.10 (z=+1.72).'],[],['BusinessTravel_freq'],False,0
EMP1844,0.9053,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['StockOptionLevel is 3 vs cohort mean 0.70 (z=+2.69).'],[],['StockOptionLevel'],False,0
EMP918,0.8122,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['NumCompaniesWorked is 9 vs cohort mean 3.16 (z=+2.29).'],[],['NumCompaniesWorked'],False,0
EMP473,0.4574,Medium,Increase manager check-in frequency to weekly,True,['DistanceFromHome is 29 vs cohort mean 9.10 (z=+2.52).'],[],['DistanceFromHome'],False,0
EMP72,0.7454,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['DistanceFromHome is 23 vs cohort mean 9.10 (z=+1.76).'],[],['DistanceFromHome'],False,0
EMP445,0.5259,Medium,Increase manager check-in frequency to weekly,True,['RelationshipSatisfaction is 1 vs cohort mean 2.77 (z=-1.69).'],[],['RelationshipSatisfaction'],False,0
EMP680,0.4649,Medium,Increase manager check-in frequency to weekly,True,['BusinessTravel_freq is 2 vs cohort mean 1.10 (z=+1.72).'],[],['BusinessTravel_freq'],False,0
EMP1060,0.4451,Medium,Increase manager check-in frequency to weekly,True,['BusinessTravel_freq is 2 vs cohort mean 1.10 (z=+1.72).'],[],['BusinessTravel_freq'],False,0
EMP648,0.9038,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['WorkLifeBalance is 4 vs cohort mean 2.75 (z=+1.78).'],[],['WorkLifeBalance'],False,0
EMP407,0.2573,Low,,False,[],[],[],False,0
EMP1591,0.0197,Low,,False,[],[],[],False,0
EMP771,0.0354,Low,,False,[],[],[],False,0
EMP1687,0.1142,Low,,False,[],[],[],False,0
EMP1992,0.3443,Low,,False,[],[],[],False,0
EMP784,0.2279,Low,,False,[],[],[],False,0
EMP95,0.3852,Medium,Increase manager check-in frequency to weekly,True,['DistanceFromHome is 1 vs cohort mean 9.10 (z=-1.03).'],[],['DistanceFromHome'],False,0
EMP1263,0.0017,Low,,False,[],[],[],False,0
EMP1766,0.8071,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['JobInvolvement is 1 vs cohort mean 2.66 (z=-2.32).'],[],['JobInvolvement'],False,0
EMP920,0.321,Low,,False,[],[],[],False,0
EMP1714,0.5384,Medium,Increase manager check-in frequency to weekly,True,['JobInvolvement is 1 vs cohort mean 2.66 (z=-2.32).'],[],['JobInvolvement'],False,0
EMP816,0.8939,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['JobSatisfaction is 1 vs cohort mean 2.76 (z=-1.62).'],[],['JobSatisfaction'],False,0
EMP556,0.5848,Medium,Increase manager check-in frequency to weekly,True,['BusinessTravel_freq is 2 vs cohort mean 1.10 (z=+1.72).'],[],['BusinessTravel_freq'],False,0
EMP10,0.6366,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['StockOptionLevel is 3 vs cohort mean 0.70 (z=+2.69).'],[],['StockOptionLevel'],False,0
EMP1935,0.2289,Low,,False,[],[],[],False,0
EMP1746,0.5447,Medium,Increase manager check-in frequency to weekly,True,['BusinessTravel_freq is 2 vs cohort mean 1.10 (z=+1.72).'],[],['BusinessTravel_freq'],False,0
EMP1044,0.097,Low,,False,[],[],[],False,0
EMP1379,0.6191,High,Assign an onboarding mentor and schedule a 1-on-1 within 48 hours,True,['WorkLifeBalance is 4 vs cohort mean 2.75 (z=+1.78).'],[],['WorkLifeBalance'],False,0
EMP113,0.3595,Medium,Increase manager check-in frequency to weekly,True,['JobSatisfaction is 1 vs cohort mean 2.76 (z=-1.62).'],[],['JobSatisfaction'],False,0
EMP1801,0.2737,Low,,False,[],[],[],False,0
EMP701,0.3675,Medium,Increase manager check-in frequency to weekly,True,['TrainingTimesLastYear is 5 vs cohort mean 2.80 (z=+1.62).'],[],['TrainingTimesLastYear'],False,0
EMP1215,0.0124,Low,,False,[],[],[],False,0
EMP1206,0.2145,Low,,False,[],[],[],False,0
EMP487,0.0307,Low,,False,[],[],[],False,0
EMP675,0.2847,Low,,False,[],[],[],False,0
EMP1364,0.1785,Low,,False,[],[],[],False,0
EMP1683,0.1892,Low,,False,[],[],[],False,0
EMP732,0.5558,Medium,Increase manager check-in frequency to weekly,True,['NumCompaniesWorked is 8 vs cohort mean 3.16 (z=+1.90).'],[],['NumCompaniesWorked'],False,0
EMP923,0.4215,Medium,Increase manager check-in frequency to weekly,True,['RelationshipSatisfaction is 1 vs cohort mean 2.77 (z=-1.69).'],[],['RelationshipSatisfaction'],False,0
EMP1966,0.1767,Low,,False,[],[],[],False,0
