employee_id,attrition_probability,risk_level,recommendation,action_taken,escalated,evidence,targets_drivers,cited_features,status,tool_calls
EMP1734,0.8017,High,Assign an onboarding mentor,True,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['JobInvolvement'],"['EnvironmentSatisfaction', 'JobInvolvement', 'StockOptionLevel']",APPROVED_FOR_REVIEW,9
EMP4,0.7904,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'JobLevel', 'StockOptionLevel']",APPROVED_FOR_REVIEW,7
EMP911,0.9541,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Commute distance is 25 vs cohort mean 9.1 (94th percentile, worst 6% of the cohort), contributing +0.90 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'EnvironmentSatisfaction', 'DistanceFromHome', 'JobLevel']",APPROVED_FOR_REVIEW,8
EMP1466,0.059,Low,,False,False,"['Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.']",[],"['JobSatisfaction', 'RelationshipSatisfaction']",NO_ACTION,4
EMP684,0.7488,High,Review team environment and working conditions,True,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Commute distance is 26 vs cohort mean 9.1 (96th percentile, worst 4% of the cohort), contributing +0.95 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.']",['EnvironmentSatisfaction'],"['BusinessTravel_freq', 'EnvironmentSatisfaction', 'DistanceFromHome', 'JobSatisfaction']",APPROVED_FOR_REVIEW,9
EMP364,0.6412,High,Review team environment and working conditions,True,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['EnvironmentSatisfaction'],"['EnvironmentSatisfaction', 'JobLevel', 'WorkLifeBalance', 'StockOptionLevel']",APPROVED_FOR_REVIEW,9
EMP1780,0.6515,High,Review team environment and working conditions,True,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['EnvironmentSatisfaction'],"['JobLevel', 'EnvironmentSatisfaction', 'StockOptionLevel']",APPROVED_FOR_REVIEW,7
EMP241,0.6692,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'JobSatisfaction', 'JobLevel']",APPROVED_FOR_REVIEW,8
EMP424,0.6394,High,Review team environment and working conditions,True,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['EnvironmentSatisfaction'],"['EnvironmentSatisfaction', 'JobSatisfaction', 'StockOptionLevel']",APPROVED_FOR_REVIEW,9
EMP243,0.4881,Medium,Review team environment and working conditions,True,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['EnvironmentSatisfaction'],"['JobLevel', 'EnvironmentSatisfaction', 'StockOptionLevel']",APPROVED_FOR_REVIEW,7
EMP1016,0.9479,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'JobSatisfaction', 'JobLevel', 'RelationshipSatisfaction']",APPROVED_FOR_REVIEW,10
EMP832,0.7925,High,Review team environment and working conditions,True,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['EnvironmentSatisfaction'],"['BusinessTravel_freq', 'EnvironmentSatisfaction', 'StockOptionLevel']",APPROVED_FOR_REVIEW,7
EMP1495,0.0819,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],['JobLevel'],NO_ACTION,3
EMP1731,0.0459,Low,,False,False,"['Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.']",[],['WorkLifeBalance'],NO_ACTION,3
EMP106,0.0256,Low,,False,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.']",[],['EnvironmentSatisfaction'],NO_ACTION,3
EMP1542,0.4878,Medium,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],['JobLevel'],NO_ACTION,3
EMP986,0.1019,Low,,False,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Commute distance is 24 vs cohort mean 9.1 (91st percentile, worst 9% of the cohort), contributing +0.84 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['OverTime_flag', 'DistanceFromHome', 'EnvironmentSatisfaction', 'StockOptionLevel']",NO_ACTION,6
EMP90,0.8521,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'JobLevel', 'RelationshipSatisfaction']",APPROVED_FOR_REVIEW,8
EMP792,0.9265,High,Assign an onboarding mentor,True,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",['JobInvolvement'],"['BusinessTravel_freq', 'EnvironmentSatisfaction', 'JobInvolvement', 'JobLevel']",APPROVED_FOR_REVIEW,9
EMP1674,0.7853,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'JobSatisfaction', 'JobLevel']",APPROVED_FOR_REVIEW,8
EMP1030,0.5925,Medium,Review team environment and working conditions,True,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['EnvironmentSatisfaction'],"['EnvironmentSatisfaction', 'JobLevel', 'StockOptionLevel']",APPROVED_FOR_REVIEW,7
EMP1803,0.2481,Low,,False,False,"['Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.']",[],"['JobSatisfaction', 'EnvironmentSatisfaction']",NO_ACTION,4
EMP393,0.0667,Low,,False,False,"['Commute distance is 23 vs cohort mean 9.1 (89th percentile, worst 11% of the cohort), contributing +0.78 to the risk logit.', 'Previous employers is 9 vs cohort mean 3.16 (96th percentile, worst 4% of the cohort), contributing +0.42 to the risk logit.']",[],"['DistanceFromHome', 'NumCompaniesWorked']",NO_ACTION,4
EMP2012,0.3272,Low,,False,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],"['EnvironmentSatisfaction', 'JobLevel']",NO_ACTION,4
EMP1585,0.2814,Low,,False,False,"['Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['RelationshipSatisfaction', 'EnvironmentSatisfaction', 'StockOptionLevel']",NO_ACTION,5
EMP167,0.78,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Commute distance is 22 vs cohort mean 9.1 (88th percentile, worst 12% of the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'JobLevel', 'DistanceFromHome', 'StockOptionLevel']",APPROVED_FOR_REVIEW,8
EMP1601,0.1192,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],['JobLevel'],NO_ACTION,3
EMP353,0.3517,Medium,Review compensation and equity package,True,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['StockOptionLevel'],"['JobLevel', 'StockOptionLevel']",APPROVED_FOR_REVIEW,5
EMP235,0.9156,High,Assign an onboarding mentor,True,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']","['JobInvolvement', 'JobSatisfaction']","['BusinessTravel_freq', 'JobInvolvement', 'JobSatisfaction', 'JobLevel']",APPROVED_FOR_REVIEW,9
EMP1839,0.3414,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['JobLevel', 'WorkLifeBalance', 'EnvironmentSatisfaction', 'StockOptionLevel']",NO_ACTION,6
EMP954,0.396,Medium,Review team environment and working conditions,True,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.']",['EnvironmentSatisfaction'],['EnvironmentSatisfaction'],APPROVED_FOR_REVIEW,4
EMP49,0.0815,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['JobLevel', 'RelationshipSatisfaction', 'StockOptionLevel']",NO_ACTION,5
EMP2048,0.1764,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['JobLevel', 'StockOptionLevel']",NO_ACTION,4
EMP1036,0.6077,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'EnvironmentSatisfaction', 'StockOptionLevel']",APPROVED_FOR_REVIEW,8
EMP1933,0.2252,Low,,False,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['OverTime_flag', 'StockOptionLevel']",NO_ACTION,4
EMP578,0.1791,Low,,False,False,"['Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],['StockOptionLevel'],NO_ACTION,3
EMP1592,0.03,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],['JobLevel'],NO_ACTION,3
EMP467,0.65,High,Assign an onboarding mentor,True,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['RelationshipSatisfaction'],"['BusinessTravel_freq', 'RelationshipSatisfaction', 'EnvironmentSatisfaction', 'StockOptionLevel']",APPROVED_FOR_REVIEW,10
EMP1844,0.9053,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'EnvironmentSatisfaction', 'JobSatisfaction', 'JobLevel']",APPROVED_FOR_REVIEW,10
EMP918,0.8122,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Previous employers is 9 vs cohort mean 3.16 (96th percentile, worst 4% of the cohort), contributing +0.42 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'BusinessTravel_freq', 'JobLevel', 'NumCompaniesWorked']",APPROVED_FOR_REVIEW,7
EMP473,0.4574,Medium,Review team environment and working conditions,True,False,"['Commute distance is 29 vs cohort mean 9.1 (98th percentile, worst 2% of the cohort), contributing +1.12 to the risk logit.', 'Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Work-life balance is 1 vs cohort mean 2.75 (0th percentile, the worst in the cohort), contributing +0.53 to the risk logit.']",['EnvironmentSatisfaction'],"['DistanceFromHome', 'EnvironmentSatisfaction', 'WorkLifeBalance']",APPROVED_FOR_REVIEW,7
EMP72,0.7454,High,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Commute distance is 23 vs cohort mean 9.1 (89th percentile, worst 11% of the cohort), contributing +0.78 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'DistanceFromHome']",APPROVED_FOR_REVIEW,5
EMP445,0.5259,Medium,Review workload and reduce overtime,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['OverTime_flag'],"['OverTime_flag', 'RelationshipSatisfaction', 'StockOptionLevel']",APPROVED_FOR_REVIEW,9
EMP680,0.4649,Medium,,False,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],"['BusinessTravel_freq', 'JobLevel']",NO_ACTION,4
EMP1060,0.4451,Medium,Assign an onboarding mentor,True,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.']",['RelationshipSatisfaction'],"['BusinessTravel_freq', 'JobLevel', 'RelationshipSatisfaction']",APPROVED_FOR_REVIEW,7
EMP648,0.9038,High,Assign an onboarding mentor,True,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.']",['JobSatisfaction'],"['BusinessTravel_freq', 'JobSatisfaction', 'JobLevel', 'EnvironmentSatisfaction']",APPROVED_FOR_REVIEW,9
EMP407,0.2573,Low,,False,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Commute distance is 18 vs cohort mean 9.1 (81st percentile, worst 19% of the cohort), contributing +0.50 to the risk logit.']",[],"['BusinessTravel_freq', 'JobLevel', 'DistanceFromHome']",NO_ACTION,5
EMP1591,0.0197,Low,,False,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.']",[],['OverTime_flag'],NO_ACTION,3
EMP771,0.0354,Low,,False,False,"['Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit.', 'Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.']",[],"['JobSatisfaction', 'RelationshipSatisfaction']",NO_ACTION,4
EMP1687,0.1142,Low,,False,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],['JobLevel'],NO_ACTION,3
EMP1992,0.3443,Low,,False,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.']",[],"['OverTime_flag', 'JobLevel']",NO_ACTION,4
EMP784,0.2279,Low,,False,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],"['EnvironmentSatisfaction', 'JobLevel', 'StockOptionLevel']",NO_ACTION,5
EMP95,0.3852,Medium,Review compensation and equity package,True,False,"['Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",['StockOptionLevel'],"['JobLevel', 'StockOptionLevel']",APPROVED_FOR_REVIEW,5
EMP1263,0.0017,Low,,False,False,"['Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.']",[],['StockOptionLevel'],NO_ACTION,3
