employee_id,attrition,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,RelationshipSatisfaction,TrainingTimesLastYear,OverTime_flag,DistanceFromHome,BusinessTravel_freq,JobLevel,StockOptionLevel,NumCompaniesWorked,YearsWithCurrManager
EMP218,0,2,4,3,1,4,1,0,9,0,1,1,6,2
EMP224,0,3,3,2,2,4,2,1,3,0,1,1,1,1
EMP235,1,1,3,1,4,1,5,0,1,2,1,0,0,0
EMP241,0,1,3,3,3,3,3,1,8,1,1,1,4,2
EMP243,1,4,2,2,2,3,3,0,2,1,1,0,1,0
EMP245,0,4,3,3,3,3,3,0,9,1,1,0,1,1
EMP261,1,3,2,2,3,1,1,1,23,1,2,0,3,1
EMP271,0,3,4,3,3,2,3,0,2,1,2,0,9,0
EMP274,0,1,3,2,3,3,1,0,1,2,2,1,5,0
EMP282,1,1,2,3,3,2,2,1,29,1,2,0,7,0
EMP298,0,4,4,3,3,3,3,1,6,1,3,0,3,0
EMP309,0,4,3,2,3,1,6,0,3,1,1,1,3,0
EMP316,0,4,3,2,2,2,3,0,2,1,1,0,7,2
EMP321,0,3,2,3,2,4,2,0,6,1,1,0,8,2
EMP334,0,1,3,3,2,1,2,0,19,1,2,2,2,0
EMP337,0,3,2,3,3,1,3,0,3,2,3,1,9,2
EMP338,0,4,3,2,2,3,2,0,5,1,1,1,1,2
EMP342,1,3,1,3,3,2,5,0,10,2,3,2,6,0
EMP353,0,4,3,3,2,2,0,0,1,1,1,0,1,0
EMP364,1,3,1,3,1,3,5,0,2,1,1,0,2,0
EMP366,0,2,1,2,3,2,2,0,2,1,2,2,2,0
EMP392,1,3,4,3,1,4,0,1,24,2,1,1,3,0
EMP393,0,4,4,3,3,2,2,0,23,1,2,1,9,2
EMP399,0,2,4,3,2,3,5,0,5,2,1,1,1,2
EMP405,1,3,3,3,3,3,2,0,3,1,1,0,1,0
EMP407,0,4,3,4,3,4,2,0,18,2,1,2,4,0
EMP411,0,3,4,2,3,1,2,0,10,1,1,0,1,0
EMP424,0,1,1,2,3,4,1,0,2,1,2,0,3,0
EMP426,0,4,3,3,1,2,2,1,2,1,1,1,0,2
EMP445,1,3,4,3,2,1,3,1,3,1,2,0,4,0
EMP451,0,1,3,3,2,1,1,0,7,1,3,1,8,0
EMP467,0,3,2,3,3,1,3,0,4,2,2,0,3,0
EMP468,0,4,1,3,3,2,2,0,23,1,4,0,2,0
EMP473,0,3,1,3,1,2,3,0,29,1,3,1,3,0
EMP475,0,3,4,3,4,2,2,1,25,0,2,1,7,2
EMP477,0,4,1,2,3,2,6,0,2,1,2,0,3,0
EMP479,0,4,4,3,3,2,6,0,1,0,2,0,4,0
EMP485,1,3,4,3,3,2,2,1,5,1,1,0,1,0
EMP487,0,3,3,3,4,3,2,0,7,0,2,0,2,0
EMP493,0,2,3,2,3,4,5,1,9,1,1,0,0,2
EMP494,1,2,3,4,3,4,0,0,12,1,1,0,1,0
EMP496,0,2,3,2,3,3,5,0,9,1,2,0,9,0
EMP501,0,3,4,3,3,2,3,0,2,1,1,1,4,2
EMP508,0,2,3,3,3,1,3,0,2,1,1,1,1,0
EMP511,0,2,1,3,3,4,1,0,11,1,1,1,1,2
EMP514,1,4,3,3,3,3,4,1,4,2,1,0,9,0
EMP518,0,2,3,3,2,4,2,1,10,1,2,0,2,1
EMP521,0,3,2,2,3,2,3,0,2,1,2,1,6,0
EMP538,1,1,1,3,3,3,5,0,3,1,1,1,5,2
EMP544,0,4,1,3,2,4,3,0,10,1,1,2,3,2
EMP555,1,3,4,1,2,4,3,0,6,2,1,1,0,0
EMP556,0,4,4,3,3,3,3,1,2,2,1,1,1,0
EMP565,1,2,3,2,4,2,2,0,25,1,1,0,5,1
EMP566,1,4,1,2,4,3,3,0,2,1,1,0,1,0
EMP568,0,4,1,2,2,3,3,0,29,1,4,1,3,0
EMP578,0,3,3,3,3,3,3,0,8,1,2,0,7,0
EMP587,1,3,1,3,3,1,2,0,20,2,3,0,3,0
EMP591,0,3,2,3,3,4,4,0,5,2,1,1,4,0
EMP593,1,3,3,2,3,3,3,0,4,2,1,0,5,2
EMP614,1,2,2,3,3,4,3,1,5,2,1,0,1,0
EMP615,0,1,3,1,3,3,2,0,28,0,3,1,3,1
EMP618,0,3,1,3,3,1,5,0,29,1,2,2,5,0
EMP622,1,4,3,1,1,2,3,1,24,1,1,0,1,0
EMP624,0,3,1,3,2,4,3,0,18,2,3,0,5,2
EMP632,0,4,4,3,3,3,3,0,24,2,1,2,0,1
EMP634,0,3,3,3,3,3,4,0,10,1,2,1,3,0
EMP643,0,2,4,2,3,4,2,0,17,1,1,1,1,0
EMP648,1,1,2,2,4,3,2,0,12,2,1,1,1,0
EMP657,0,2,4,2,4,4,0,0,1,1,1,0,1,0
EMP661,0,4,2,2,2,3,3,1,6,1,4,1,4,0
EMP662,0,1,3,3,2,4,3,0,1,1,1,0,3,0
EMP665,0,3,1,2,4,2,1,0,1,1,2,0,4,2
EMP671,0,4,4,3,4,1,2,1,3,1,5,1,4,1
EMP675,0,3,1,3,3,4,3,0,6,1,1,0,0,2
EMP680,0,3,3,3,3,3,2,0,3,2,1,1,1,0
EMP684,1,1,1,3,3,4,4,0,26,2,2,2,2,0
EMP701,1,3,4,3,3,4,5,1,10,1,1,0,1,1
EMP704,0,3,3,2,3,3,3,0,3,0,1,2,1,0
EMP712,0,2,2,4,3,4,3,0,2,1,2,0,3,2
EMP715,0,4,4,4,3,1,2,0,10,1,1,0,3,0
EMP720,1,3,1,3,3,1,3,0,3,1,2,0,9,0
EMP732,0,1,1,3,3,4,1,0,16,1,2,0,8,2
EMP738,0,2,4,3,3,4,2,0,8,1,1,1,7,2
EMP743,0,3,3,3,4,4,4,1,1,1,3,0,4,0
EMP749,0,3,3,3,3,3,6,0,10,1,1,0,1,0
EMP752,1,3,3,4,3,4,2,1,19,2,1,0,6,2
EMP754,0,4,4,2,3,3,5,0,15,2,2,1,3,2
EMP766,0,2,4,3,3,4,2,0,10,1,1,2,1,2
EMP769,0,4,4,3,3,4,4,0,6,1,2,0,2,2
EMP771,0,1,4,3,4,1,2,0,2,0,2,1,2,0
EMP773,0,3,4,3,1,2,0,1,2,1,1,1,6,1
EMP775,0,1,2,3,3,3,3,0,8,1,2,1,3,0
EMP784,0,3,1,4,3,4,3,0,10,1,1,0,1,2
EMP792,0,4,1,1,3,1,2,0,1,2,1,1,3,0
EMP806,0,3,4,1,3,3,2,0,1,1,1,2,3,2
EMP811,1,1,3,4,3,3,2,1,6,1,1,2,1,0
EMP812,0,2,3,2,3,3,4,0,9,0,1,3,1,0
EMP816,1,1,2,2,3,4,1,1,1,1,1,1,1,0
EMP826,0,3,4,4,3,3,0,0,1,1,1,0,3,2
EMP828,1,3,3,3,2,4,3,0,2,1,1,0,6,1
EMP832,0,3,1,2,3,4,6,0,16,2,2,0,6,0
EMP833,0,4,3,2,2,2,4,1,2,1,2,0,5,0
EMP834,0,3,2,2,3,4,3,0,2,1,1,0,1,0
EMP850,0,4,4,3,2,3,6,0,3,0,1,3,1,0
EMP868,0,3,4,2,3,4,2,0,16,1,2,2,4,0
EMP872,0,4,4,2,1,1,2,0,1,1,2,2,6,2
EMP875,0,4,2,3,3,4,2,1,2,2,1,0,5,2
EMP893,0,2,2,2,3,4,3,0,9,1,1,1,0,2
EMP897,0,4,1,3,3,3,3,0,8,1,4,1,5,2
EMP911,1,4,1,3,1,3,2,1,25,1,1,0,1,1
EMP918,1,4,4,2,2,4,3,1,2,2,1,1,9,0
EMP920,0,2,1,3,4,3,2,0,8,1,2,1,4,0
EMP922,1,3,3,2,2,4,3,0,2,1,1,0,1,2
EMP923,1,4,4,3,2,1,3,0,18,1,1,0,1,0
EMP930,0,3,3,3,3,2,2,0,9,1,1,1,5,2
EMP932,1,1,4,3,1,4,2,1,6,1,1,0,7,2
EMP933,0,3,2,3,3,3,2,0,4,1,1,0,1,0
EMP934,0,2,2,3,3,2,3,0,10,1,1,2,1,0
EMP945,0,3,4,3,2,1,2,0,20,1,1,2,4,0
EMP952,1,2,3,2,3,3,2,1,19,1,1,3,1,0
EMP954,0,2,1,2,2,2,2,0,10,1,3,1,2,0
EMP959,1,2,4,2,4,2,3,1,21,1,1,0,1,0
EMP960,1,1,1,3,3,2,2,0,4,1,1,0,1,0
EMP964,0,2,4,3,3,4,2,1,9,2,1,1,8,0
EMP977,1,3,4,3,3,1,4,0,2,1,1,0,4,0
EMP986,1,2,2,4,2,4,2,1,24,0,4,0,4,0
EMP994,1,1,4,2,3,3,5,1,10,1,1,0,6,0
EMP1001,0,2,3,3,3,2,2,0,16,1,1,1,9,2
EMP1006,0,3,3,3,2,2,0,0,10,2,1,1,0,2
EMP1012,0,4,2,3,3,4,2,0,5,0,1,0,1,0
EMP1016,1,1,4,2,3,1,2,1,11,1,1,0,1,0
EMP1022,0,3,1,2,3,4,0,0,6,1,2,0,2,2
EMP1025,0,3,4,3,3,2,6,0,7,1,2,0,6,1
EMP1029,0,3,4,3,4,2,3,0,5,1,5,0,6,0
EMP1030,0,4,1,3,3,2,5,0,9,1,1,0,4,0
EMP1033,1,2,1,1,1,1,2,0,11,1,2,0,5,0
EMP1036,0,4,2,3,3,3,1,1,3,1,2,0,8,0
EMP1037,1,1,2,1,3,4,6,0,29,0,2,0,8,2
EMP1044,0,4,2,2,2,4,2,0,8,0,1,0,0,2
EMP1052,1,3,1,3,2,2,3,0,15,1,2,1,7,0
EMP1055,0,3,3,3,3,4,2,1,10,1,1,1,1,0
EMP1056,0,2,4,3,3,2,5,0,10,1,1,0,1,0
EMP1060,0,3,3,3,3,1,2,0,3,2,1,1,3,2
EMP1069,0,4,4,3,3,4,0,0,1,1,5,2,9,2
EMP1076,0,4,3,2,3,3,5,0,25,1,3,1,5,0
EMP1077,1,4,4,3,3,2,3,1,9,2,1,0,1,2
EMP1079,1,1,3,2,2,1,6,0,10,1,1,0,1,0
EMP1105,0,4,4,2,3,3,5,1,10,1,2,3,2,0
EMP1107,1,3,1,3,2,3,0,0,21,1,1,1,1,0
EMP1108,1,2,1,2,3,2,0,1,25,1,1,0,4,2
EMP1111,1,2,1,2,3,1,2,0,1,2,1,2,1,0
EMP1113,1,3,4,3,3,4,4,1,1,2,2,0,3,0
EMP1115,0,4,3,2,3,4,2,0,3,0,1,3,3,0
EMP1125,0,2,4,3,3,3,2,0,2,1,3,0,7,0
EMP1131,0,2,4,2,4,3,6,1,1,1,1,0,1,2
EMP1135,0,4,3,4,3,1,4,0,20,2,1,1,0,2
EMP1148,0,4,2,1,3,1,3,0,29,1,2,0,4,0
EMP1156,1,3,3,3,3,4,0,0,8,0,1,0,1,0
EMP1158,0,4,2,3,3,1,4,1,12,1,1,1,3,0
EMP1160,1,3,3,3,2,3,5,0,15,2,1,1,1,2
EMP1175,1,4,3,3,2,4,4,1,12,1,1,0,1,0
EMP1180,0,4,3,2,1,4,3,1,26,2,2,1,3,0
EMP1185,0,4,4,2,4,2,2,0,4,2,1,1,1,2
EMP1190,0,1,3,3,3,3,3,0,2,0,1,3,1,0
EMP1193,0,1,3,3,3,3,4,0,9,1,1,0,1,0
EMP1198,0,3,1,2,2,1,2,0,3,1,1,0,1,2
EMP1203,1,4,3,2,3,2,5,1,3,2,1,1,0,0
EMP1206,0,3,4,1,3,4,3,0,17,0,1,0,2,0
EMP1210,1,1,1,2,1,1,2,0,5,0,1,1,6,0
EMP1212,0,2,2,3,3,4,2,0,2,2,2,3,5,0
EMP1215,0,1,4,3,3,3,3,0,2,2,4,1,2,2
EMP1219,1,2,4,3,1,1,3,0,17,1,1,1,1,0
EMP1226,0,4,3,4,3,4,2,0,21,1,1,0,1,2
EMP1234,0,2,3,2,3,3,2,0,13,2,1,1,1,2
EMP1242,0,1,1,3,3,3,6,1,26,2,3,0,3,0
EMP1248,1,2,1,2,4,2,2,1,10,0,1,0,1,0
EMP1256,0,3,1,2,4,3,2,0,4,1,5,1,2,0
EMP1258,0,2,4,4,2,3,4,0,2,1,1,0,5,0
EMP1263,0,4,4,2,4,3,3,0,1,1,5,0,6,0
EMP1265,0,3,3,4,2,4,5,0,20,1,1,0,0,0
EMP1269,0,4,2,4,3,4,2,1,25,1,1,0,1,1
EMP1270,0,3,4,3,3,4,2,0,1,1,1,1,1,1
EMP1273,1,4,3,1,3,4,4,1,24,2,1,0,1,0
EMP1279,1,3,1,2,1,3,2,0,10,2,1,0,1,2
EMP1292,0,2,2,4,3,4,2,1,7,1,2,0,6,0
EMP1296,0,4,4,2,3,2,2,1,2,2,1,1,1,2
EMP1303,0,2,4,3,2,4,3,0,1,1,1,0,1,1
EMP1306,0,2,2,3,3,3,4,0,25,2,5,0,3,0
EMP1308,0,3,1,3,3,4,3,0,23,1,1,2,1,2
EMP1364,0,4,3,4,3,2,4,0,11,1,1,1,8,0
EMP1368,0,4,4,3,4,3,5,0,1,0,1,0,1,0
EMP1379,1,4,3,2,4,3,3,0,2,2,1,0,7,0
EMP1412,0,4,3,3,3,3,2,0,18,2,3,0,2,2
EMP1427,1,3,2,1,3,2,3,0,1,2,1,0,1,0
EMP1433,1,2,1,2,4,3,3,0,8,1,1,0,1,0
EMP1458,1,1,1,2,4,2,2,1,2,0,1,0,2,0
EMP1464,1,4,2,3,1,3,2,1,2,2,1,1,6,2
EMP1466,0,1,3,3,3,1,3,0,7,1,2,3,4,2
EMP1467,1,3,1,3,3,4,0,0,9,1,1,0,1,2
EMP1479,0,3,4,3,2,3,2,0,16,1,2,2,8,2
EMP1481,0,3,1,3,2,3,4,0,1,2,2,1,7,0
EMP1482,0,3,3,3,2,2,2,0,7,0,1,2,1,0
EMP1492,0,3,4,3,3,1,3,0,7,1,1,1,1,0
EMP1494,1,1,2,3,2,3,2,1,9,2,1,0,2,0
EMP1495,0,2,4,3,3,3,2,0,13,0,1,1,1,0
EMP1496,0,3,2,3,2,2,2,1,2,2,3,0,5,2
EMP1504,1,1,3,2,2,3,2,0,2,2,1,0,7,0
EMP1506,0,3,1,2,1,4,2,0,1,1,1,1,1,0
EMP1515,0,3,4,3,3,1,6,1,8,1,2,0,2,0
EMP1525,0,2,2,3,3,4,3,0,6,1,3,0,4,2
EMP1542,0,2,3,2,3,2,3,0,2,1,1,1,4,0
EMP1551,0,1,3,2,3,2,3,0,21,1,1,3,0,0
EMP1552,0,4,4,3,3,3,2,1,8,0,2,0,3,2
EMP1558,0,3,3,4,2,1,2,0,9,1,1,2,6,0
EMP1560,0,1,1,3,1,4,6,0,8,1,2,1,2,2
EMP1569,1,1,1,3,3,4,2,1,2,1,1,1,1,0
EMP1577,0,4,1,3,1,3,4,0,7,1,1,0,1,0
EMP1580,0,4,2,3,2,2,3,0,1,1,2,1,9,1
EMP1581,0,4,1,3,3,1,5,0,3,1,1,0,1,0
EMP1585,0,3,2,3,3,1,5,0,1,1,2,0,6,0
EMP1591,0,3,3,3,3,3,2,1,9,1,5,1,4,0
EMP1592,0,3,4,4,3,4,2,0,10,1,1,1,2,2
EMP1595,0,4,4,2,3,4,2,0,9,1,5,0,8,1
EMP1601,0,4,3,2,2,4,5,0,7,1,1,1,1,1
EMP1604,1,2,3,3,3,3,3,1,24,1,1,3,1,0
EMP1623,0,4,3,3,3,3,2,0,5,1,1,0,1,2
EMP1624,1,4,2,3,4,3,2,1,3,2,1,0,1,0
EMP1644,0,4,3,2,3,2,3,0,4,2,4,1,2,2
EMP1645,1,4,1,1,2,4,2,1,15,1,2,2,6,2
EMP1657,0,3,3,3,3,1,3,0,2,1,1,0,1,2
EMP1674,0,1,4,3,2,2,2,1,16,1,1,1,4,2
EMP1678,0,3,4,3,3,4,2,1,23,1,3,0,3,2
EMP1680,0,1,4,3,3,1,3,0,9,1,1,0,1,2
EMP1683,0,4,3,3,3,1,2,1,1,1,1,3,4,2
EMP1687,0,3,4,3,2,4,5,0,4,1,1,1,7,0
EMP1692,1,2,4,3,3,1,2,0,2,1,1,0,1,0
EMP1697,0,4,3,1,4,3,2,0,1,1,3,1,3,0
EMP1714,1,3,4,1,3,3,2,0,22,1,1,1,1,0
EMP1724,0,1,2,3,3,2,3,1,8,1,2,1,2,0
EMP1731,0,2,3,3,1,4,3,0,2,0,2,1,7,0
EMP1733,1,1,2,2,3,2,3,1,13,1,2,3,5,2
EMP1734,1,2,1,1,3,2,2,0,1,1,2,0,6,0
EMP1746,0,4,1,3,3,4,2,0,10,2,1,1,0,1
EMP1752,1,2,2,1,3,3,3,0,9,1,1,0,1,2
EMP1758,1,1,1,3,2,3,2,1,16,1,3,0,2,0
EMP1761,1,3,1,3,3,1,2,0,16,1,3,3,2,0
EMP1762,0,1,4,2,3,3,2,0,4,1,1,1,1,0
EMP1766,0,4,2,1,3,3,2,1,18,1,2,1,3,0
EMP1767,1,3,3,2,3,4,4,1,17,2,1,1,9,0
EMP1770,0,1,3,2,3,2,2,0,2,1,5,3,8,0
EMP1779,0,4,4,1,3,1,3,0,3,1,2,0,5,2
EMP1780,1,2,2,3,3,2,3,0,7,1,1,0,1,0
EMP1783,1,1,3,3,3,3,6,1,8,1,1,0,1,0
EMP1786,0,3,1,3,3,4,2,0,3,1,3,0,2,2
EMP1789,0,4,3,3,3,3,3,1,2,1,5,1,7,2
EMP1801,0,2,2,2,3,3,3,0,26,0,2,0,8,2
EMP1803,0,1,2,4,2,3,2,0,13,1,2,2,5,0
EMP1812,0,4,3,3,3,4,6,0,20,2,2,1,2,2
EMP1837,0,3,1,3,3,2,3,1,15,2,4,0,2,2
EMP1839,0,3,2,3,1,3,4,0,14,0,1,0,1,0
EMP1842,1,1,4,4,3,3,4,0,18,1,1,0,0,0
EMP1844,1,1,1,2,3,4,3,1,13,1,1,3,4,0
EMP1847,0,2,4,3,3,4,2,1,2,1,2,1,4,0
EMP1853,0,4,4,3,4,3,2,0,10,2,2,0,8,0
EMP1856,0,3,2,3,3,3,2,0,9,1,1,0,4,0
EMP1860,0,3,4,3,3,4,3,0,8,1,1,0,4,0
EMP1862,1,2,3,2,2,3,3,1,2,1,2,0,7,2
EMP1865,0,2,4,2,3,4,3,0,6,1,1,0,1,0
EMP1868,1,4,4,2,2,2,3,1,24,2,1,0,1,0
EMP1871,0,4,4,3,3,2,2,0,19,1,2,3,8,2
EMP1875,0,2,2,3,3,4,3,0,3,1,1,1,1,0
EMP1876,1,4,2,3,2,3,3,0,9,1,1,0,1,0
EMP1878,1,2,4,3,3,1,2,1,7,1,1,0,1,0
EMP1893,0,3,2,2,2,3,3,1,1,1,1,1,1,0
EMP1903,0,1,2,4,3,4,5,0,1,1,2,1,2,2
EMP1916,0,3,1,4,2,2,0,0,4,1,1,1,8,2
EMP1928,1,1,3,4,3,4,3,0,24,2,1,0,1,0
EMP1933,1,3,4,3,3,4,0,1,13,1,2,0,3,2
EMP1935,0,1,4,2,3,3,3,0,11,1,2,1,4,0
EMP1938,0,4,4,3,2,3,2,1,21,1,4,1,4,0
EMP1943,0,4,2,3,3,3,4,1,12,1,2,2,3,0
EMP1944,1,2,1,2,3,1,2,0,22,2,1,0,1,0
EMP1961,0,1,1,2,2,1,3,0,1,1,1,0,4,0
EMP1966,0,4,4,2,3,2,1,0,5,1,2,0,8,0
EMP1968,1,1,1,3,2,2,2,1,24,1,3,0,6,2
EMP1974,0,4,4,1,3,3,4,1,2,1,1,3,1,0
EMP1987,0,2,3,3,3,3,3,0,2,1,1,0,4,2
EMP1992,0,3,4,3,2,3,2,1,2,1,1,1,6,2
EMP1994,0,3,2,2,2,3,2,0,1,0,1,3,1,0
EMP1996,0,3,1,3,3,3,1,0,2,1,1,1,0,2
EMP2003,0,3,4,3,3,3,3,1,11,1,1,1,7,2
EMP2012,0,4,1,3,2,3,3,0,1,1,1,2,8,0
EMP2013,0,2,2,2,3,2,2,0,1,1,1,1,0,2
EMP2021,0,1,3,3,3,4,6,1,5,1,1,0,1,2
EMP2023,1,1,4,3,2,1,3,0,9,2,1,1,1,0
EMP2027,1,4,1,3,4,2,3,1,1,1,1,3,9,2
EMP2048,0,3,3,2,3,4,2,0,2,1,1,0,2,2
